Test#,Success?,Fuel
1,True,55.999999999999446
2,True,56.999999999999446
3,True,57.19999999999945
4,True,56.19999999999944
5,True,55.59999999999945
6,False,56.999999999999446
7,True,56.19999999999945
8,True,56.19999999999945
9,True,56.399999999999444
10,True,55.59999999999944
11,True,55.79999999999944
12,True,55.399999999999444
13,True,56.39999999999945
14,True,56.59999999999945
15,True,55.19999999999944
16,True,54.999999999999446
17,True,56.79999999999945
18,True,55.399999999999444
19,True,55.19999999999945
20,True,56.19999999999945
21,False,56.39999999999945
22,False,55.59999999999945
23,True,56.79999999999945
24,True,55.59999999999945
25,True,55.999999999999446
26,True,56.79999999999945
27,False,55.399999999999444
28,True,57.19999999999945
29,True,55.399999999999444
30,True,55.59999999999944
31,False,55.399999999999444
32,False,56.19999999999944
33,True,55.19999999999944
34,True,55.19999999999944
35,True,55.999999999999446
36,True,55.999999999999446
37,True,56.39999999999945
38,True,56.19999999999945
39,True,56.59999999999945
40,True,55.399999999999444
41,True,55.79999999999944
42,False,56.999999999999446
43,True,56.39999999999945
44,True,56.39999999999945
45,True,57.19999999999945
46,False,55.399999999999444
47,False,56.79999999999945
48,True,55.999999999999446
49,True,55.19999999999944
50,True,55.399999999999444
